id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,target
TRAIN_00000,27.88160000,1013.6,46.8,2.4,232.4,0.00,False,0.0,1.180
TRAIN_00001,5.75400000,1026.6,76.6,3.6,172.0,0.00,False,8.8,8.581
TRAIN_00002,20.82200000,1016.2,64.8,2.2,206.0,0.06,False,23.0,3.978
TRAIN_00003,20.07580000,1017.4,72.6,0.8,215.4,0.00,False,0.0,8.301
TRAIN_00004,7.52600000,1023.2,82.8,1.2,158.0,0.00,False,15.0,1.692
TRAIN_00005,24.85000000,1011.2,64.6,2.2,126.0,0.00,False,0.0,1.971
TRAIN_00006,32.94200000,1016.8,35.8,3.8,166.0,0.00,False,16.0,7.179
TRAIN_00007,14.81200000,1006.8,73.0,4.0,172.0,0.12,False,60.0,9.110
TRAIN_00008,12.32100000,1025.8,66.6,1.0,170.4,0.00,False,2.8,12.238
TRAIN_00009,20.77060000,1004.4,67.0,1.4,215.2,0.00,False,11.2,7.333